Accident_Index,Year,Month,Day,Hour
200501CP00085,2005,5,18,18
200501RY10515,2005,11,9,9
200501TA00003,2005,1,6,15
200501TA00006,2005,2,2,9
200501TA00015,2005,1,29,12
200501TA00065,2005,3,24,22
200501TA00083,2005,4,11,21
200501TA00087,2005,4,27,10
200501TA00088,2005,3,11,22
200501TA00096,2005,4,1,16
200501TA00101,2005,5,8,6
200501TA00106,2005,5,25,17
200501TA00123,2005,6,10,23
200501TA00154,2005,7,15,15
200501TA00169,2005,7,14,8
200501TA00188,2005,8,13,0
200501TA00193,2005,9,2,17
200501TA00212,2005,9,30,14
200501TA00219,2005,10,6,1
200501TA00234,2005,10,20,19
200501TA00239,2005,10,26,10
200501TA00251,2005,11,6,2
200501TA00265,2005,11,15,9
200501TA00270,2005,11,18,7
200501TA00274,2005,10,30,9
200501TA00291,2005,12,1,20
200501TA00292,2005,12,1,2
200501TA00296,2005,11,30,12
200501TA00306,2005,12,26,0
200501TA09001,2005,12,2,17
200501TA09003,2005,12,15,20
200501TA09005,2005,11,29,8
200501TA09033,2005,12,13,20
200501TB00005,2005,1,13,22
200501TB00106,2005,2,28,2
200501TB00112,2005,3,6,22
200501TB00141,2005,3,7,11
200501TB00155,2005,3,26,15
200501TB00166,2005,2,25,3
200501TB00171,2005,5,2,5
200501TB00173,2005,4,28,22
200501TB00180,2005,5,8,12
200501TB00182,2005,5,14,6
200501TB00186,2005,5,15,20
200501TB00192,2005,5,26,23
200501TB00208,2005,6,8,4
200501TB00209,2005,6,13,17
200501TB00227,2005,5,29,0
200501TB00231,2005,7,3,15
200501TB00257,2005,7,30,1
200501TB00289,2005,9,8,0
200501TB00291,2005,9,12,18
200501TB00292,2005,9,16,1
200501TB00308,2005,9,27,1
200501TB00316,2005,10,13,19
200501TB00327,2005,10,17,18
200501TB00330,2005,10,21,21
200501TB00333,2005,10,27,19
200501TB00350,2005,11,25,21
200501TB00360,2005,11,26,1
200501TB00363,2005,12,7,18
200501TB00366,2005,12,1,21
200501TB00368,2005,12,8,17
200501TB00369,2005,11,12,12
200501TB00370,2005,11,25,19
200501TB00375,2005,12,14,4
200501TB00376,2005,12,19,0
200501TB00378,2005,12,15,8
200501TC00030,2005,2,3,12
200501TC00042,2005,2,25,21
200501TC00049,2005,2,20,15
200501TC00051,2005,1,24,15
200501TC00052,2005,1,13,22
200501TC00081,2005,3,4,13
200501TC00127,2005,3,19,9
200501TC00174,2005,4,26,0
200501TC00176,2005,3,17,14
200501TC00177,2005,3,25,22
200501TC00188,2005,5,5,16
200501TC00216,2005,5,28,11
200501TC00217,2005,5,27,8
200501TC00221,2005,6,4,15
200501TC00223,2005,6,8,17
200501TC00228,2005,6,12,18
200501TC00233,2005,6,18,16
200501TC00234,2005,6,15,20
200501TC00243,2005,6,18,4
200501TC00249,2005,6,23,13
200501TC00257,2005,7,3,10
200501TC00272,2005,7,3,19
200501TC00279,2005,7,21,17
200501TC00285,2005,7,20,20
200501TC00286,2005,7,26,23
200501TC00288,2005,7,23,22
200501TC00293,2005,7,28,19
200501TC00303,2005,6,21,19
200501TC00307,2005,8,2,13
200501TC00320,2005,8,5,13
200501TC00325,2005,8,23,18
200501TC00330,2005,9,2,7
200501TC00343,2005,9,10,7
200501TC00350,2005,9,12,1
200501TC00353,2005,9,13,16
200501TC00354,2005,9,16,16
200501TC00359,2005,9,17,13
200501TC00364,2005,9,26,6
200501TC00372,2005,10,5,13
200501TC00391,2005,9,12,10
200501TC00395,2005,10,6,21
200501TC00402,2005,10,24,10
200501TC00415,2005,10,27,9
200501TC00424,2005,10,23,1
200501TC00427,2005,11,4,17
200501TC00429,2005,11,12,9
200501TC00432,2005,11,3,13
200501TC00433,2005,11,16,10
200501TC00435,2005,11,20,20
200501TC00438,2005,11,24,0
200501TC00439,2005,11,24,17
200501TC00452,2005,12,18,10
200501TC00469,2005,12,6,17
200501TC09001,2005,11,12,12
200501TD00002,2005,1,25,11
200501TD00025,2005,2,11,18
200501TD00040,2005,3,8,18
200501TD00058,2005,3,15,21
200501TD00059,2005,3,12,2
200501TD00068,2005,4,1,20
200501TD00069,2005,3,28,12
200501TD00077,2005,3,23,14
200501TD00081,2005,3,23,17
200501TD00085,2005,4,21,12
200501TD00097,2005,5,9,17
200501TD00138,2005,6,29,17
200501TD00145,2005,7,10,18
200501TD00153,2005,7,16,23
200501TD00154,2005,7,17,5
200501TD00155,2005,7,20,22
200501TD00168,2005,6,26,4
200501TD00175,2005,8,8,1
200501TD00181,2005,8,10,17
200501TD00182,2005,8,10,6
200501TD00187,2005,8,17,16
200501TD00188,2005,8,5,9
200501TD00189,2005,8,20,0
200501TD00201,2005,8,20,15
200501TD00205,2005,9,5,18
200501TD00206,2005,9,2,18
200501TD00227,2005,10,8,22
200501TD00230,2005,10,15,0
200501TD00235,2005,10,25,19
200501TD00256,2005,11,24,7
200501TD00260,2005,10,14,13
200501TD00263,2005,12,6,19
200501TD00264,2005,11,29,8
200501TD00265,2005,11,26,14
200501TD00270,2005,12,17,0
200501TD00273,2005,12,21,6
200501TD00283,2005,12,23,23
200501TD00289,2005,12,14,21
200501TD09023,2005,11,19,18
200501TE00004,2005,1,3,22
200501TE00005,2005,1,11,13
200501TE00025,2005,1,18,11
200501TE00072,2005,1,27,18
200501TE00118,2005,2,26,17
200501TE00148,2005,2,16,23
200501TE00155,2005,3,20,11
200501TE00156,2005,2,14,18
200501TE00158,2005,3,27,5
200501TE00162,2005,3,29,20
200501TE00166,2005,2,16,17
200501TE00234,2005,6,1,18
200501TE00237,2005,6,8,16
200501TE00241,2005,6,15,16
200501TE00242,2005,6,22,11
200501TE00243,2005,6,21,10
200501TE00257,2005,4,3,15
200501TE00258,2005,4,20,17
200501TE00260,2005,6,23,7
200501TE00261,2005,6,30,17
200501TE00265,2005,7,3,7
200501TE00266,2005,7,7,9
200501TE00272,2005,7,18,13
200501TE00296,2005,8,2,13
200501TE00297,2005,7,31,7
200501TE00298,2005,7,31,2
200501TE00302,2005,8,11,10
200501TE00321,2005,9,1,1
200501TE00322,2005,8,30,12
200501TE00357,2005,9,30,2
200501TE00365,2005,10,7,18
200501TE00369,2005,10,7,18
200501TE00371,2005,6,28,10
200501TE00374,2005,10,12,22
200501TE00385,2005,10,23,0
200501TE00416,2005,11,14,21
200501TE00417,2005,11,8,20
200501TE00428,2005,11,16,21
200501TE00435,2005,11,20,21
200501TE00462,2005,12,9,15
200501TE00465,2005,12,14,8
200501TE00475,2005,12,15,8
200501TE00481,2005,12,28,10
200501TE00482,2005,12,21,5
2005030000056,2005,1,5,13
2005030000072,2005,1,19,19
2005030000345,2005,2,17,2
2005030000530,2005,2,28,13
2005030000626,2005,3,7,1
2005030000656,2005,3,13,10
