Accident_Index,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
200501CP00085,0,1,0,1
200501RY10515,0,0,0,1
200501TA00003,1,0,0,1
200501TA00006,1,0,0,0
200501TA00015,1,0,0,0
200501TA00065,0,0,0,1
200501TA00083,1,1,0,0
200501TA00087,0,0,1,1
200501TA00088,1,0,0,1
200501TA00096,1,0,0,0
200501TA00101,1,0,0,0
200501TA00106,0,0,0,1
200501TA00123,0,0,0,1
200501TA00154,1,0,0,0
200501TA00169,0,0,1,1
200501TA00188,0,1,0,0
200501TA00193,1,1,0,0
200501TA00212,0,0,0,1
200501TA00219,1,1,0,0
200501TA00234,0,1,0,0
200501TA00239,1,0,0,0
200501TA00251,1,0,0,0
200501TA00265,1,0,0,1
200501TA00270,0,0,1,1
200501TA00274,1,0,0,1
200501TA00291,0,0,0,1
200501TA00292,1,0,0,0
200501TA00296,1,0,0,0
200501TA00306,0,1,0,0
200501TA09001,1,0,0,1
200501TA09003,1,0,0,0
200501TA09005,0,1,0,0
200501TA09033,1,0,0,1
200501TB00005,1,0,0,0
200501TB00106,1,0,0,0
200501TB00112,1,0,0,0
200501TB00141,1,0,0,0
200501TB00155,0,0,0,1
200501TB00166,1,0,0,0
200501TB00171,1,0,0,0
200501TB00173,1,0,0,0
200501TB00180,1,1,0,0
200501TB00182,0,1,0,0
200501TB00186,1,0,0,0
200501TB00192,1,0,1,0
200501TB00208,1,0,0,0
200501TB00209,1,0,1,0
200501TB00227,0,0,0,1
200501TB00231,1,0,0,0
200501TB00257,1,0,0,1
200501TB00289,1,0,0,0
200501TB00291,1,1,0,0
200501TB00292,0,0,0,1
200501TB00308,0,1,1,0
200501TB00316,1,1,0,0
200501TB00327,0,0,0,1
200501TB00330,1,0,0,0
200501TB00333,1,0,0,0
200501TB00350,1,0,0,0
200501TB00360,1,0,0,0
200501TB00363,1,0,0,0
200501TB00366,1,0,0,0
200501TB00368,0,0,0,1
200501TB00369,0,0,0,1
200501TB00370,1,0,0,0
200501TB00375,1,0,0,1
200501TB00376,1,0,0,0
200501TB00378,1,0,0,0
200501TC00030,0,0,1,0
200501TC00042,1,0,0,0
200501TC00049,0,0,0,1
200501TC00051,1,0,0,0
200501TC00052,1,0,0,0
200501TC00081,0,0,1,0
200501TC00127,1,0,0,0
200501TC00174,0,1,0,0
200501TC00176,1,1,0,0
200501TC00177,1,0,0,0
200501TC00188,0,0,1,1
200501TC00216,1,0,1,0
200501TC00217,0,0,1,0
200501TC00221,1,0,1,0
200501TC00223,1,0,0,0
200501TC00228,0,1,0,0
200501TC00233,0,1,1,0
200501TC00234,0,0,0,1
200501TC00243,1,1,0,0
200501TC00249,1,0,0,0
200501TC00257,1,0,0,0
200501TC00272,0,1,0,0
200501TC00279,1,0,0,0
200501TC00285,1,0,0,1
200501TC00286,1,0,0,0
200501TC00288,0,1,0,0
200501TC00293,1,0,0,0
200501TC00303,0,1,1,0
200501TC00307,1,0,0,0
200501TC00320,1,0,0,0
200501TC00325,0,1,0,0
200501TC00330,0,1,0,1
200501TC00343,1,0,0,0
200501TC00350,1,0,0,0
200501TC00353,1,1,0,0
200501TC00354,0,0,0,1
200501TC00359,1,0,0,0
200501TC00364,1,0,0,0
200501TC00372,0,0,0,1
200501TC00391,0,1,0,0
200501TC00395,1,0,0,0
200501TC00402,1,1,1,0
200501TC00415,1,0,0,0
200501TC00424,0,1,0,0
200501TC00427,0,1,0,0
200501TC00429,1,0,0,1
200501TC00432,1,0,0,0
200501TC00433,1,0,0,0
200501TC00435,1,0,0,0
200501TC00438,1,0,0,0
200501TC00439,1,0,0,0
200501TC00452,1,0,0,0
200501TC00469,1,0,0,0
200501TC09001,0,0,0,1
200501TD00002,0,0,1,0
200501TD00025,0,1,0,0
200501TD00040,0,0,0,0
200501TD00058,1,0,0,0
200501TD00059,1,0,0,0
200501TD00068,0,1,0,0
200501TD00069,0,0,0,1
200501TD00077,1,0,0,0
200501TD00081,1,0,0,0
200501TD00085,1,0,0,0
200501TD00097,1,0,0,0
200501TD00138,1,1,0,0
200501TD00145,1,0,0,0
200501TD00153,1,1,0,0
200501TD00154,1,0,0,0
200501TD00155,0,0,0,0
200501TD00168,1,0,0,0
200501TD00175,1,0,0,0
200501TD00181,0,1,0,0
200501TD00182,1,0,0,1
200501TD00187,1,1,0,0
200501TD00188,1,0,0,0
200501TD00189,1,0,0,0
200501TD00201,1,1,0,0
200501TD00205,1,1,0,0
200501TD00206,1,0,0,0
200501TD00227,1,0,0,0
200501TD00230,1,0,0,0
200501TD00235,1,1,0,0
200501TD00256,1,0,0,0
200501TD00260,0,1,0,0
200501TD00263,1,0,0,0
200501TD00264,1,0,0,0
200501TD00265,1,1,0,0
200501TD00270,1,0,0,0
200501TD00273,0,0,0,1
200501TD00283,1,0,0,0
200501TD00289,1,0,0,0
200501TD09023,1,0,0,0
200501TE00004,0,1,0,0
200501TE00005,0,1,0,0
200501TE00025,0,0,0,1
200501TE00072,1,0,0,1
200501TE00118,1,1,0,0
200501TE00148,1,0,0,0
200501TE00155,0,1,0,0
200501TE00156,1,1,0,0
200501TE00158,0,1,0,0
200501TE00162,1,0,0,0
200501TE00166,1,0,0,0
200501TE00234,1,1,0,0
200501TE00237,1,0,0,0
200501TE00241,0,0,0,1
200501TE00242,1,0,0,1
200501TE00243,0,0,1,1
200501TE00257,0,0,0,1
200501TE00258,1,0,0,0
200501TE00260,1,0,0,1
200501TE00261,0,1,0,0
200501TE00265,1,0,0,0
200501TE00266,0,0,1,0
200501TE00272,1,0,0,0
200501TE00296,1,0,0,1
200501TE00297,1,0,0,0
200501TE00298,1,0,0,0
200501TE00302,0,0,0,1
200501TE00321,1,0,0,0
200501TE00322,1,0,0,0
200501TE00357,1,0,0,0
200501TE00365,1,1,0,0
200501TE00369,0,0,0,0
200501TE00371,0,0,0,1
200501TE00374,1,0,0,0
200501TE00385,1,0,0,0
200501TE00416,1,0,0,0
200501TE00417,0,1,0,0
200501TE00428,1,0,0,0
200501TE00435,0,1,0,0
200501TE00462,0,1,0,1
200501TE00465,0,1,1,0
200501TE00475,0,0,1,1
200501TE00481,1,0,0,0
200501TE00482,1,0,0,0
2005030000056,1,0,0,0
2005030000072,1,0,0,0
2005030000345,1,0,1,0
2005030000530,1,0,0,0
2005030000626,1,0,0,0
2005030000656,1,0,0,0
2005030000666,1,0,1,0
2005030000865,1,0,0,0
2005030000983,1,0,1,0
2005030001166,1,0,0,0
2005030001278,0,0,0,1
2005030001282,1,0,1,0
2005030001284,1,1,0,0
2005030001468,1,0,0,0
2005030001733,1,0,0,0
2005030002034,1,0,0,0
2005030002240,0,0,1,0
2005030002260,0,0,1,0
2005030002315,1,0,0,0
2005030002431,1,0,0,0
2005030002925,1,1,0,0
2005030003168,1,0,0,0
2005030003330,1,0,0,0
2005030003332,1,0,0,0
2005030003344,1,0,0,0
2005030003428,1,0,0,0
2005030003451,1,0,0,0
2005030003462,1,0,0,0
2005030003593,1,0,0,0
2005030003719,1,0,0,0
2005030003747,1,0,1,0
2005030004053,1,0,0,1
2005030004062,1,0,1,0
2005030004182,1,0,0,0
2005030004201,1,0,0,0
200504A003405,1,0,0,0
200504A004405,0,0,1,1
200504AL05034,0,1,0,0
200504AL05176,1,0,0,0
200504AM05056,0,0,0,1
200504AM05113,0,1,0,0
200504AN05080,1,1,0,0
200504B002605,1,0,0,0
200504B004805,1,1,0,0
200504B006005,1,0,0,0
200504B008105,0,0,0,1
200504B011705,1,0,0,0
200504B011805,1,0,1,0
200504B017605,1,0,1,0
200504B018405,1,0,0,0
200504BB05014,1,0,0,0
200504BB05116,1,0,0,0
200504BC05001,1,0,0,1
200504BC05005,1,1,1,0
200504BC05010,1,0,0,0
200504BC05086,1,0,1,0
200504BC05100,1,1,0,0
200504BC05111,0,0,0,1
200504BC05112,0,0,0,1
200504BJ05023,0,0,0,1
200504C001505,1,0,0,0
200504C005005,1,0,0,0
200504C006205,1,1,0,0
200504C007805,1,0,0,0
200504C019305,1,1,1,0
200504C021605,1,0,0,1
200504C024305,1,0,0,0
200504C033305,0,1,0,0
200504C034005,1,0,0,0
200504CA05052,0,0,1,0
200504CC05001,1,1,0,0
200504CC05025,1,1,0,0
200504CD05018,1,0,0,0
200504CD05046,1,0,0,0
200504CD05050,1,1,0,0
200504CD05051,0,0,1,0
200504CH05050,1,0,0,0
200504CJ05042,1,0,0,0
200504CK05088,1,1,0,0
200504CM05007,0,1,1,0
200504CM05008,0,1,0,0
200504CM05032,1,0,0,0
200504CM05054,0,1,0,0
200504CM05085,1,0,0,0
200504CP05046,1,0,0,0
200504DF05014,1,0,0,0
200504DF05032,1,0,0,0
200504DF05066,1,1,0,0
200504E004205,1,0,0,0
200504E007605,1,0,0,1
200504E014805,1,0,0,0
200504E018105,1,0,0,0
200504E020605,1,0,0,0
200504E021605,1,0,0,0
200504E023005,0,1,0,0
200504E025005,1,0,0,0
200504E025905,0,0,0,1
200504E026405,1,1,0,0
200504EA05085,1,0,0,0
200504EB05034,1,0,0,0
200504EB05066,1,0,0,0
200504EN05060,1,1,0,0
200504EN05085,1,1,0,0
200504F003605,1,0,0,0
200504F010705,1,0,0,0
200504F017105,1,0,0,0
200504F024105,1,0,0,0
200504F026305,1,0,0,0
200504F031205,1,0,0,0
200504FA05025,0,0,0,1
200504FA05070,1,0,0,0
200504FA05116,1,0,0,1
200504FA05133,1,0,0,0
200504FJ05046,1,0,0,0
200504FL05031,1,0,1,0
200504FL05067,1,0,0,0
200504FL05077,1,0,1,0
200504TA05015,0,0,1,0
200504TA05078,1,0,0,0
200504TA05083,0,1,1,0
200505AA03092,1,0,0,0
200505AA03137,1,0,0,1
200505AA03311,1,0,0,0
200505AA03924,0,1,0,0
200505AW00218,1,0,0,0
200505AW00269,1,0,0,0
200505AW00273,0,1,0,0
200505AW00445,1,0,0,1
200505AW00568,1,0,0,0
200505AW00698,1,0,0,0
200505AW00739,1,0,0,1
200505AW00766,1,0,0,1
200505AW00935,1,1,0,0
200505AW01230,1,0,0,0
200505AW01373,1,0,0,0
200505AW01375,1,0,0,1
200505BB02065,1,0,0,0
200505BB02448,1,0,0,0
200505BB04560,1,0,0,0
200505BS00582,1,0,0,0
200505BS00802,1,0,0,0
200505BS00898,1,0,0,0
200505BS01033,1,0,0,0
200505BS01401,0,1,0,0
200505BS01428,0,0,1,0
200505CC04153,1,0,0,0
200505CH00089,1,0,0,0
200505CH00173,1,0,0,0
200505CH00177,0,0,0,1
200505CH00426,1,1,0,0
200505CH00453,1,0,0,0
200505DH00349,1,0,0,0
200505DH00412,1,0,0,0
200505DH00486,0,1,0,0
200505DH00746,1,0,0,0
200505EE01003,1,1,0,0
200505EE01025,1,1,0,0
200505EE01590,0,0,0,1
200505EE01656,1,0,0,0
200505EE02288,1,0,0,0
200505EE02834,1,0,0,0
200505EE03309,1,0,0,0
200505EE03315,1,0,0,0
200505EE03950,1,0,0,0
200505ET00001,1,0,0,0
200505ET00084,1,0,0,0
200505ET00085,0,0,0,0
200505ET00316,1,0,0,0
200505ET00515,1,0,0,0
200505ET00516,1,0,0,0
200505ET00555,1,1,0,0
200505ET01104,1,0,0,0
200505ET01451,0,1,0,0
200505ET01625,1,0,0,0
200505FF03949,1,0,0,0
200505FT00251,1,0,0,0
200505FT00318,0,0,0,0
200506A029829,1,0,0,0
200506A030424,1,0,0,0
200506A032477,1,0,1,0
200506A033793,1,0,0,1
200506A035159,0,0,0,1
200506A921687,1,0,0,0
200506B024673,1,0,0,0
200506B028518,0,0,1,0
200506B038359,1,1,0,0
200506B038492,1,0,0,0
200506C025132,1,0,0,0
200506C028470,1,0,0,0
200506C032113,0,0,0,0
200506C036673,1,0,0,0
200506C917483,1,1,0,0
200506C917703,1,0,0,0
200506C920973,1,0,0,0
200506C921644,1,0,0,0
200506C923595,1,0,0,0
200506F025783,1,0,1,0
200506F026228,0,0,0,1
200506F030783,0,1,0,0
200506F032361,1,0,0,1
200506F042413,1,0,0,0
200506F918251,0,1,0,0
200506F919376,1,0,0,0
200506F922114,0,0,1,0
200506F923194,1,0,0,0
200506G025914,1,0,0,0
200506G034133,1,0,0,1
200506G035081,1,0,0,0
200506G039083,1,0,0,0
200506G039709,1,0,0,0
200506G919642,1,0,0,0
200506J027448,1,0,0,0
200506J039189,0,0,1,0
200506J919610,1,0,0,0
200506J921656,0,0,1,0
200506J923131,1,0,0,0
200506K029376,0,0,0,1
200506K032388,1,1,0,0
200506K033750,1,0,0,1
200506K034475,0,1,0,0
200506K036295,1,0,0,0
200506K036652,1,0,0,0
200506K037430,1,0,0,0
200506L026333,1,0,0,0
200506L027444,1,1,0,0
200506L027613,1,0,0,0
200506L030260,1,0,0,0
200506L030261,1,1,0,0
200506L037261,1,0,0,0
200506L038159,1,0,0,0
200506L921482,1,0,0,1
200506L922846,1,0,0,0
200506M035749,0,0,0,1
200506M040175,1,0,0,0
200506N026015,1,0,0,0
200506N039021,1,0,0,0
200506N921388,1,0,0,0
200506P024805,0,1,0,0
200506P027572,1,0,0,0
200506P032407,0,0,1,0
200506P035818,1,0,0,0
200506P040828,0,1,0,0
200506P919007,1,0,1,0
200506Q029890,1,0,0,0
200506Q030287,1,0,0,0
200506Q031561,1,0,0,0
200506Q032969,0,0,0,0
200506Q919649,1,0,0,0
200506Q920438,1,0,0,0
200506X024156,1,0,0,0
200506X032257,0,0,1,0
200506X032554,0,1,0,0
200506X032815,1,0,0,0
200506X033043,1,1,0,0
200506X039622,1,0,0,0
200506X041471,1,0,0,0
200506X919457,1,0,1,0
200506X920520,1,0,0,0
2005070500032,0,0,1,0
2005070500199,1,0,0,0
2005070500228,1,1,0,0
2005070500352,1,0,0,0
2005070500424,1,0,0,0
2005070500569,1,0,0,0
2005070500792,0,1,0,1
2005070500801,1,0,0,0
2005070500806,1,0,0,0
2005070500836,1,1,1,0
2005070500962,1,0,0,1
2005070501103,1,0,0,0
2005070501147,0,0,1,0
2005070501184,1,0,0,1
2005070501264,1,0,0,0
2005070501312,1,0,0,0
2005070501487,1,0,0,0
2005070501501,1,0,0,0
2005070501641,1,0,0,0
2005070501841,1,0,0,0
2005070501896,1,0,0,0
2005070501907,1,0,0,1
2005070501982,1,1,0,0
2005070501998,1,0,1,0
2005070502108,0,0,0,1
2005070502240,1,0,0,0
2005070502279,1,0,0,0
2005070502297,1,0,0,0
2005070502466,1,0,0,0
2005070502724,1,0,1,0
2005070502732,1,0,0,0
2005070503161,1,0,0,0
2005070503176,1,0,0,0
2005070503184,1,0,0,0
2005070503211,0,0,1,0
2005070503249,1,0,0,0
2005070503295,1,0,0,0
2005070503387,1,1,0,0
2005070503418,1,0,0,0
2005070503475,0,0,0,1
2005070503492,0,1,0,1
2005070503544,1,0,0,0
2005070503712,1,0,1,0
2005070503954,0,1,0,0
2005070503979,1,0,0,0
2005070504207,1,1,0,0
2005070504282,1,0,0,0
2005070504407,1,0,0,0
2005070504468,1,0,0,0
2005070504563,1,0,0,0
2005070504671,1,0,0,1
2005070504825,1,1,0,0
2005070504870,0,0,1,0
2005070504906,1,0,0,0
2005070504996,1,0,0,0
2005070505014,1,0,0,0
2005070505055,1,0,1,0
2005070505070,1,0,0,0
2005070505256,1,0,1,0
2005070505307,1,0,0,0
2005070505428,1,0,0,0
2005070505486,1,1,0,0
2005070505654,1,0,0,0
2005070505686,1,0,0,0
2005070505715,1,1,0,0
2005070505747,0,0,0,1
2005070505757,0,1,1,0
2005070505774,1,0,1,0
2005100002305,1,0,0,0
2005100004605,1,0,0,0
2005100010005,1,0,0,0
2005100021105,1,1,1,0
2005100023105,1,0,1,0
2005100030605,1,0,0,0
2005100088505,1,0,0,0
2005100126905,1,0,0,1
2005100133005,1,0,0,0
2005100135705,1,0,0,0
2005100194105,0,0,0,1
2005100232905,1,0,0,1
2005100334805,1,0,0,0
2005100360505,1,0,0,0
2005100380405,1,0,0,0
2005100389105,1,0,0,0
2005100423305,0,1,0,0
2005100437205,1,0,0,0
2005100446605,1,0,0,0
2005100481905,1,1,0,0
2005100513005,1,0,1,0
2005100519005,1,0,0,0
2005100533805,1,1,0,0
2005100547205,1,0,0,0
2005100554505,1,0,0,0
2005100587905,1,0,0,0
2005100595805,0,0,0,0
2005100620705,1,0,0,0
2005100627705,1,0,0,0
2005100652605,1,1,0,0
2005100659505,0,1,0,0
2005100693505,1,0,0,0
2005100697205,1,0,0,1
2005100724505,0,0,1,0
2005100756505,1,0,0,1
2005100784305,1,0,0,0
2005100787105,0,0,0,1
2005100800305,1,0,0,0
2005100860905,1,0,0,0
2005100871005,1,0,0,0
2005100889305,1,0,0,0
2005100899405,1,0,0,0
2005100931005,1,0,0,0
2005100932405,1,0,0,0
2005100934205,1,0,0,0
2005100955605,1,0,0,0
2005100971005,1,0,0,0
200511AA04470,1,0,0,0
200511AA06340,1,0,0,0
200511AA10360,1,1,0,0
200511AB24090,1,0,0,0
200511AK06200,1,0,0,0
200511AK10370,1,0,1,0
200511AK15280,1,0,0,0
200511AK26830,1,0,0,0
200511AL17430,1,1,0,0
200511BD05580,1,0,0,0
200511BD11820,1,0,0,0
200511BD12120,1,0,1,0
200511BD16140,1,0,1,0
200511BD24590,1,0,0,0
200511BD24750,1,0,0,0
200511BE05620,1,0,0,0
200511BE14390,1,1,0,1
200511BE25020,1,0,0,0
200511BE25030,0,0,1,1
200511CG08120,1,0,0,0
200511CG22710,0,1,0,0
200511CG27830,1,0,0,0
200511CH08760,0,0,0,1
200511CH10990,1,0,0,0
200511CH17310,1,0,0,0
200511CI12820,1,0,0,0
200511CI16880,1,0,0,0
200511CI24820,1,1,0,0
200511DC08780,1,0,1,0
200511DJ04860,1,0,0,0
200511DJ22010,0,1,0,1
200511DJ30020,1,0,0,0
2005120100065,0,1,1,0
2005120140007,1,0,0,0
2005120150559,1,0,0,0
2005120160301,1,1,0,0
2005120190531,1,0,1,0
2005120200319,1,0,1,0
2005120290404,1,0,0,0
2005120300347,1,0,0,0
2005120330869,1,0,0,0
2005120550776,1,0,1,0
2005120570323,1,0,0,0
2005120580639,1,0,0,0
2005120600685,1,0,0,0
2005120610848,1,0,0,0
2005120740777,1,0,0,0
2005120840380,1,1,0,0
2005120860681,1,0,0,0
2005120870361,1,0,1,0
2005121060133,1,0,1,0
2005121060614,1,0,0,0
2005121080705,1,0,1,0
2005121120524,1,0,1,0
2005121130489,0,0,0,1
2005121200660,0,1,0,0
2005121210555,0,1,0,0
2005121230260,1,0,0,0
2005121280021,1,0,0,0
2005121350543,1,1,0,0
2005121400297,0,0,0,1
2005121450616,1,0,0,0
2005121471106,1,0,0,0
2005121480638,1,1,0,0
2005121640566,1,0,0,0
2005121690756,1,1,0,0
2005121770161,1,0,0,0
2005121790794,1,0,0,0
2005121840154,1,0,0,0
2005121840365,1,1,0,0
2005121900619,1,1,0,0
2005121930695,1,0,1,0
2005121950013,1,0,1,0
2005122080873,1,1,0,0
2005122120608,1,1,0,0
2005122130673,1,0,0,0
2005122140951,1,0,0,0
2005122180698,1,0,0,0
2005122280400,1,0,0,0
2005122350893,0,0,0,1
2005122380915,1,0,0,0
2005122390249,1,0,0,0
2005122390646,1,1,0,0
2005122400242,1,0,0,0
2005122460444,0,1,0,0
2005122500945,1,0,0,0
2005122590073,1,0,0,0
2005122620551,1,0,0,0
2005122660846,0,1,0,0
2005122670706,1,1,0,0
2005122740876,1,0,0,0
2005122761074,1,0,0,0
2005122771103,1,0,0,0
2005122790059,1,0,0,0
2005122790327,1,0,1,0
2005122830558,1,1,0,0
2005122940674,1,0,0,0
2005122940854,0,1,1,0
2005123020543,1,1,0,0
2005123030747,1,0,0,0
2005123040020,1,1,0,0
2005123090700,1,0,0,0
2005123170082,1,0,0,0
2005123170220,0,1,0,0
2005123210548,1,0,0,0
2005123290675,1,0,0,0
2005123400007,1,0,0,0
2005123400554,1,0,0,0
2005123430010,1,0,0,0
2005123440292,1,0,0,0
2005123440467,1,0,0,0
2005123460509,1,0,0,0
2005123590156,1,0,0,0
2005130000105,1,0,0,0
2005130019405,1,0,0,0
2005130034205,1,0,0,0
2005130034605,1,0,0,0
2005130059205,1,0,0,0
2005130073605,1,0,1,0
2005130097405,1,0,0,0
2005130109205,0,0,1,0
2005130115305,1,0,1,0
2005130119205,1,1,0,0
2005130163005,1,0,0,0
2005130163305,1,0,0,0
2005130180405,1,0,0,0
2005130187105,1,0,0,0
2005130233805,1,0,0,0
2005130236905,1,0,0,0
2005130241305,1,0,0,0
2005130269105,1,0,0,0
2005130270805,1,0,0,0
2005130278105,1,1,1,0
2005130288005,1,0,0,1
2005130288105,0,0,0,1
2005130301405,1,0,0,0
2005130306805,1,1,0,0
2005130369405,1,1,0,0
2005130388405,1,0,0,0
2005130388505,1,0,0,0
2005130406805,1,0,0,1
2005130414905,1,0,0,0
2005130416705,1,0,0,0
2005130436505,1,0,0,0
2005130451405,1,0,1,0
2005130484405,0,0,1,0
2005130485105,1,0,0,0
2005130488105,1,1,0,0
2005130491705,1,1,0,0
2005130504805,1,0,0,1
2005130550505,0,1,0,0
2005130554105,0,1,0,0
2005130586505,1,1,0,0
2005130594605,1,0,0,0
2005130616405,1,1,0,0
2005130619405,0,1,0,0
2005130622005,1,0,0,0
2005130624505,1,0,0,0
2005130633105,0,1,0,0
2005130642305,1,1,0,0
2005130668705,1,1,0,0
2005130702005,1,0,0,0
2005130706305,1,0,0,0
2005130714505,1,0,0,0
2005130730105,1,0,0,0
2005130742905,1,0,0,0
2005130756005,1,1,0,0
2005130783905,1,0,0,0
2005130787205,1,0,0,1
2005130787305,1,0,0,0
2005130810705,1,0,1,0
2005130823105,1,0,0,0
2005130834105,1,1,1,0
2005130834305,1,0,0,0
2005130837205,0,1,0,0
2005130841905,1,0,0,0
2005130844105,1,0,0,0
2005130850805,0,1,0,0
2005130858205,0,1,1,0
2005130867605,1,0,0,0
2005130883905,0,0,1,0
2005130891705,1,0,0,0
2005130893505,1,0,0,0
2005130899405,1,1,0,0
2005130933505,0,1,0,0
2005130934205,1,0,0,0
2005130942205,1,0,0,0
2005130962205,1,0,0,0
2005130984805,0,1,1,0
2005131049405,1,0,1,0
2005131056005,1,0,0,0
2005131056105,0,0,0,1
2005131083105,1,0,1,0
2005131103705,1,0,1,0
2005131104305,0,0,0,1
2005131122705,1,0,0,0
