Lat,Lon,Year,Month,Day,Hour,Speed_limit,Num_veh_acc
51.515757,-0.09729299999999999,2005,5,18,18,30,2
51.463682,0.098065,2005,11,9,9,30,1
51.525861,-0.17861300000000002,2005,1,6,15,30,2
51.512457,-0.172518,2005,2,2,9,30,1
51.511718,-0.12008800000000001,2005,1,29,12,30,1
51.504852,-0.146308,2005,3,24,22,30,2
51.513352000000005,-0.20721599999999998,2005,4,11,21,30,2
51.552132,-0.105584,2005,4,27,10,30,2
51.49462,-0.193688,2005,3,11,22,30,2
51.501236999999996,-0.150922,2005,4,1,16,30,1
51.513631,-0.144223,2005,5,8,6,30,1
51.495290999999995,-0.17896700000000001,2005,5,25,17,30,2
51.50268,-0.191497,2005,6,10,23,30,1
51.512491,-0.20969899999999997,2005,7,15,15,30,1
51.541548999999996,-0.135444,2005,7,14,8,30,2
51.53244,-0.13942000000000002,2005,8,13,0,30,1
51.482898999999996,-0.174276,2005,9,2,17,30,2
51.547877,-0.098261,2005,9,30,14,30,1
51.497208,-0.157712,2005,10,6,1,30,3
51.488147999999995,-0.153468,2005,10,20,19,30,1
51.544825,-0.201219,2005,10,26,10,30,1
51.503028,-0.150417,2005,11,6,2,30,3
51.572515,-0.126095,2005,11,15,9,20,2
51.522401,-0.10220599999999999,2005,11,18,7,30,2
51.513162,-0.16009500000000002,2005,10,30,9,30,2
51.588784000000004,-0.070135,2005,12,1,20,30,1
51.493863,-0.168075,2005,12,1,2,30,1
51.523527,-0.173084,2005,11,30,12,30,1
51.519731,-0.189236,2005,12,26,0,30,1
51.573648999999996,-0.073951,2005,12,2,17,30,2
51.551842,-0.060302999999999995,2005,12,15,20,30,1
51.527112,-0.195574,2005,11,29,8,30,1
51.493255,-0.198496,2005,12,13,20,30,2
51.530594,-0.229318,2005,1,13,22,30,2
51.533722,-0.325945,2005,2,28,2,30,1
51.636825,-0.17257999999999998,2005,3,6,22,30,1
51.601594,-0.268723,2005,3,7,11,30,1
51.572007,-0.196972,2005,3,26,15,30,1
51.589771,-0.200166,2005,2,25,3,50,1
51.531672,-0.308431,2005,5,2,5,40,2
51.506879999999995,-0.474343,2005,4,28,22,30,3
51.497103,-0.421796,2005,5,8,12,30,2
51.601802,-0.351889,2005,5,14,6,30,1
51.53821,-0.288,2005,5,15,20,30,1
51.543746,-0.380235,2005,5,26,23,60,2
51.626754,-0.292037,2005,6,8,4,60,1
51.613279,-0.305398,2005,6,13,17,30,2
51.562816,-0.279574,2005,5,29,0,30,1
51.525852,-0.373807,2005,7,3,15,30,1
51.515398,-0.398248,2005,7,30,1,40,2
51.500417999999996,-0.48219399999999996,2005,9,8,0,30,1
51.649291,-0.193617,2005,9,12,18,30,3
51.620527,-0.347022,2005,9,16,1,30,1
51.57614,-0.22033200000000003,2005,9,27,1,30,2
51.612784999999995,-0.265408,2005,10,13,19,30,2
51.513804,-0.248994,2005,10,17,18,30,1
51.567060999999995,-0.39513400000000004,2005,10,21,21,30,1
51.541297,-0.259475,2005,10,27,19,30,1
51.646136,-0.193164,2005,11,25,21,30,1
51.538108,-0.29954000000000003,2005,11,26,1,30,2
51.578590999999996,-0.47064300000000003,2005,12,7,18,30,2
51.621511,-0.259585,2005,12,1,21,40,1
51.528577,-0.330892,2005,12,8,17,30,1
51.565360999999996,-0.275294,2005,11,12,12,30,1
51.560483000000005,-0.207815,2005,11,25,19,30,1
51.507324,-0.29131999999999997,2005,12,14,4,30,2
51.599471,-0.147367,2005,12,19,0,30,1
51.570893,-0.42573599999999995,2005,12,15,8,30,1
51.58153,-0.034068,2005,2,3,12,30,1
51.565047,0.17141199999999998,2005,2,25,21,30,1
51.520671,-0.051538,2005,2,20,15,30,1
51.63002,-0.0032170000000000002,2005,1,24,15,30,1
51.669954,-0.019538999999999997,2005,1,13,22,30,1
51.590051,0.081939,2005,3,4,13,30,1
51.539843,0.14338800000000002,2005,3,19,9,30,2
51.509557,-0.053741,2005,4,26,0,30,1
51.615019000000004,0.118905,2005,3,17,14,30,2
51.527968,-0.020085,2005,3,25,22,30,1
51.656090999999996,-0.029397000000000003,2005,5,5,16,40,2
51.503209999999996,0.22711900000000002,2005,5,28,11,60,2
51.535527,0.123574,2005,5,27,8,30,1
51.660536,-0.058700999999999996,2005,6,4,15,40,2
51.600497999999995,-0.115846,2005,6,8,17,30,2
51.526687,-0.061805,2005,6,12,18,30,1
51.590443,0.049473,2005,6,18,16,30,2
51.58081,-0.099484,2005,6,15,20,30,1
51.641420000000004,-0.093916,2005,6,18,4,30,2
51.546207,0.09479299999999999,2005,6,23,13,30,1
51.577246,-0.146539,2005,7,3,10,30,1
51.593834,0.20469400000000001,2005,7,3,19,60,1
51.595940999999996,0.028063,2005,7,21,17,50,1
51.547944,-0.047632,2005,7,20,20,30,2
51.515571,0.005609,2005,7,26,23,30,1
51.599517999999996,-0.028814999999999997,2005,7,23,22,30,1
51.551796,0.11409000000000001,2005,7,28,19,30,2
51.60904,-0.049777999999999996,2005,6,21,19,40,2
51.594004,0.009929,2005,8,2,13,30,2
51.623599,-0.104054,2005,8,5,13,30,1
51.5824,0.117532,2005,8,23,18,50,1
51.511173,-0.010725,2005,9,2,7,30,2
51.536862,0.01736,2005,9,10,7,30,2
51.615939000000004,-0.086461,2005,9,12,1,50,1
51.635458,-0.120178,2005,9,13,16,30,2
51.575959000000005,0.06513,2005,9,16,16,30,1
51.527443,-0.036976,2005,9,17,13,30,1
51.590771999999994,-0.0598,2005,9,26,6,40,2
51.640868,-0.143657,2005,10,5,13,30,1
51.554017,-0.088773,2005,9,12,10,30,1
51.52786,-0.05123099999999999,2005,10,6,21,30,1
51.532742,0.108449,2005,10,24,10,40,3
51.549112,0.13315,2005,10,27,9,30,1
51.616468,-0.063904,2005,10,23,1,30,1
51.518431,-0.062876,2005,11,4,17,30,1
51.561771,0.109503,2005,11,12,9,30,2
51.633738,0.01602,2005,11,3,13,30,1
51.632115,-0.080289,2005,11,16,10,30,1
51.500307,0.22841799999999998,2005,11,20,20,70,1
51.59252,-0.13436700000000001,2005,11,24,0,30,1
51.553544,0.219046,2005,11,24,17,30,1
51.597744,0.16373,2005,12,18,10,30,1
51.641763,-0.13205799999999998,2005,12,6,17,30,1
51.588687,-0.06970599999999999,2005,11,12,12,30,1
51.421639,-0.002246,2005,1,25,11,30,1
51.402933000000004,0.018792,2005,2,11,18,30,1
51.480218,0.053024,2005,3,8,18,30,1
51.430484,0.103881,2005,3,15,21,30,2
51.424637,-0.057496000000000005,2005,3,12,2,30,2
51.498678000000005,-0.070198,2005,4,1,20,30,1
51.473008,0.074301,2005,3,28,12,30,1
51.389703999999995,0.050407,2005,3,23,14,30,1
51.456004,0.059423000000000004,2005,3,23,17,30,1
51.376465,-0.027061,2005,4,21,12,30,1
51.404724,-0.012329000000000001,2005,5,9,17,30,2
51.497146,-0.053694000000000006,2005,6,29,17,30,2
51.414896,-0.061216999999999994,2005,7,10,18,30,2
51.415665000000004,0.057178,2005,7,16,23,30,2
51.4449,-0.070164,2005,7,17,5,30,1
51.500046000000005,-0.087862,2005,7,20,22,30,1
51.476741,-0.016687999999999998,2005,6,26,4,30,1
51.381027,-0.090672,2005,8,8,1,30,1
51.474346000000004,-0.034648000000000005,2005,8,10,17,30,1
51.450641999999995,0.062636,2005,8,10,6,30,2
51.487248,0.092809,2005,8,17,16,30,2
51.375421,-0.045211,2005,8,5,9,30,1
51.364076000000004,-0.08247,2005,8,20,0,30,2
51.379051000000004,0.042457999999999996,2005,8,20,15,30,3
51.419414,-0.11769400000000001,2005,9,5,18,30,2
51.345529,-0.11440499999999999,2005,9,2,18,30,2
51.429087,0.101515,2005,10,8,22,30,2
51.425375,-0.005104,2005,10,15,0,30,1
51.483827000000005,-0.091421,2005,10,25,19,30,2
51.477841,0.135727,2005,11,24,7,30,1
51.374169,0.119833,2005,10,14,13,30,1
51.368485,0.09586499999999999,2005,12,6,19,30,1
51.439858,0.005167000000000001,2005,11,29,8,30,1
51.328344,0.015657,2005,11,26,14,40,2
51.430402,0.083304,2005,12,17,0,30,1
51.475702000000005,-0.019037000000000002,2005,12,21,6,30,2
51.477331,0.19259,2005,12,23,23,30,2
51.437507000000004,0.005928,2005,12,14,21,30,2
51.347662,-0.00963,2005,11,19,18,30,2
51.458884000000005,-0.330845,2005,1,3,22,30,1
51.48395,-0.30414800000000003,2005,1,11,13,30,1
51.470907000000004,-0.367266,2005,1,18,11,30,1
51.489016,-0.28768299999999997,2005,1,27,18,30,2
51.474565000000005,-0.32696,2005,2,26,17,30,2
51.509818,-0.241076,2005,2,16,23,30,2
51.485979,-0.41051400000000005,2005,3,20,11,50,1
51.461634000000004,-0.188945,2005,2,14,18,30,2
51.394024,-0.255153,2005,3,27,5,30,1
51.384704,-0.294023,2005,3,29,20,30,2
51.489715999999994,-0.381287,2005,2,16,17,30,2
51.473912,-0.19205899999999998,2005,6,1,18,30,2
51.473565,-0.34514,2005,6,8,16,30,2
51.482698,-0.127331,2005,6,15,16,30,1
51.438254,-0.36656,2005,6,22,11,30,2
51.470377,-0.35504600000000003,2005,6,21,10,30,2
51.463466,-0.167997,2005,4,3,15,30,2
51.447022,-0.128935,2005,4,20,17,30,1
51.433615,-0.128476,2005,6,23,7,30,2
51.494960999999996,-0.23977600000000002,2005,6,30,17,30,1
51.369693,-0.140854,2005,7,3,7,30,1
51.456952,-0.194456,2005,7,7,9,30,1
51.397445000000005,-0.310656,2005,7,18,13,30,2
51.47773,-0.372927,2005,8,2,13,40,2
51.506652,-0.24581,2005,7,31,7,30,2
51.410694,-0.22748400000000002,2005,7,31,2,30,2
51.441173,-0.106295,2005,8,11,10,30,1
51.447439,-0.406672,2005,9,1,1,30,3
51.508043,-0.230625,2005,8,30,12,30,1
51.502232,-0.22696,2005,9,30,2,30,1
51.479765,-0.140845,2005,10,7,18,30,2
51.48603,-0.12200899999999999,2005,10,7,18,30,1
51.38315,-0.190465,2005,6,28,10,30,1
51.482881,-0.329968,2005,10,12,22,40,1
51.515640999999995,-0.221683,2005,10,23,0,30,4
51.455604,-0.103395,2005,11,14,21,30,1
51.484139,-0.21988400000000002,2005,11,8,20,30,1
51.455701,-0.36018,2005,11,16,21,30,1
51.511553,-0.224869,2005,11,20,21,30,1
51.472386,-0.20983000000000002,2005,12,9,15,30,2
51.503078,-0.223469,2005,12,14,8,30,2
51.479531,-0.11493199999999999,2005,12,15,8,30,2
51.49258,-0.267094,2005,12,28,10,30,1
51.449397999999995,-0.13128499999999999,2005,12,21,5,30,1
54.96182099999999,-2.756027,2005,1,5,13,60,2
54.680537,-2.6951099999999997,2005,1,19,19,60,3
54.589787,-2.5108,2005,2,17,2,40,2
54.676267,-3.3820769999999998,2005,2,28,13,50,2
54.777609999999996,-3.208749,2005,3,7,1,60,1
54.855466,-3.318564,2005,3,13,10,60,3
54.255981999999996,-3.170416,2005,3,11,9,60,2
54.746539,-3.452208,2005,3,31,12,60,1
54.709005000000005,-3.323586,2005,4,13,16,60,4
54.229473999999996,-3.052768,2005,4,19,21,70,2
54.55316,-3.5783099999999997,2005,4,28,8,30,1
54.60858399999999,-3.524711,2005,4,28,15,50,2
54.63965400000001,-3.483571,2005,5,1,17,60,2
54.831447,-2.897591,2005,5,14,6,60,1
54.260535,-2.813758,2005,6,8,13,70,2
54.837216000000005,-2.858015,2005,7,6,19,60,2
54.661643000000005,-2.7293580000000004,2005,7,19,10,40,1
54.962894999999996,-2.99392,2005,7,19,6,70,3
54.624184,-3.163924,2005,7,27,21,60,1
54.888836,-2.926617,2005,7,31,1,30,1
54.342884,-2.7257029999999998,2005,8,7,14,60,2
54.108425,-3.239372,2005,10,4,10,30,2
54.260718000000004,-2.813301,2005,10,13,13,70,2
54.723074,-2.779058,2005,10,12,10,60,2
54.583408,-3.53971,2005,7,15,21,60,2
54.671925,-2.8607299999999998,2005,10,19,19,60,1
54.883973,-3.195252,2005,10,26,10,60,2
54.355103,-2.923645,2005,10,26,8,30,1
54.616284,-3.055141,2005,11,6,20,60,3
54.745993000000006,-3.45281,2005,11,14,15,60,3
54.260628000000004,-2.8133,2005,11,8,18,70,2
54.958870999999995,-2.643997,2005,12,10,17,60,3
54.62296,-3.041839,2005,12,13,20,60,2
54.653862,-3.5335370000000004,2005,12,28,12,30,1
54.260381,-2.957143,2005,12,28,15,60,3
53.757902,-2.855127,2005,1,21,15,50,2
53.833315,-3.0270040000000003,2005,1,24,11,30,2
53.76123199999999,-2.802557,2005,7,11,8,50,1
53.750587,-2.9990509999999997,2005,12,15,16,30,1
53.793792,-3.002659,2005,6,7,19,40,1
53.799525,-3.015701,2005,11,29,14,30,1
53.826831999999996,-3.028364,2005,12,22,17,30,4
53.861959999999996,-2.820449,2005,1,10,6,30,1
53.890987,-2.9549220000000003,2005,1,29,15,60,2
53.876028000000005,-2.744519,2005,2,3,21,70,1
53.876065000000004,-3.041589,2005,2,14,15,30,1
54.095403000000005,-2.8041009999999997,2005,2,24,15,40,1
53.880703000000004,-2.744298,2005,3,1,9,70,3
53.87422900000001,-2.744639,2005,2,25,17,70,2
53.818391000000005,-2.733472,2005,3,29,14,40,1
54.067972,-2.8460509999999997,2005,6,17,12,30,1
54.039809,-2.8628880000000003,2005,11,21,9,50,1
53.892782999999994,-2.834596,2005,5,8,13,60,2
53.85061700000001,-3.00052,2005,5,19,8,30,3
53.93084399999999,-2.774737,2005,5,27,2,50,1
53.895773999999996,-2.7489790000000003,2005,8,14,12,70,2
53.901168999999996,-3.028058,2005,8,20,22,30,2
53.873166000000005,-2.756636,2005,9,22,16,30,1
53.939498,-2.712591,2005,9,25,11,60,2
53.922842,-3.0162560000000003,2005,6,9,11,30,1
53.691359999999996,-2.72263,2005,1,6,12,60,2
53.568202,-2.885271,2005,1,20,16,30,1
53.698353000000004,-2.8098419999999997,2005,1,27,7,60,3
53.721655000000005,-2.572206,2005,2,2,18,60,2
53.649483999999994,-2.607538,2005,3,8,19,70,4
53.668737,-2.854834,2005,3,18,16,60,2
53.721198,-2.5547720000000003,2005,3,25,18,60,2
53.70973000000001,-2.566136,2005,4,23,12,60,1
53.574666,-2.8863119999999998,2005,4,25,14,40,8
53.658188,-2.627789,2005,8,30,8,30,1
53.627244999999995,-2.681161,2005,5,30,15,40,2
53.641976,-2.616809,2005,7,24,13,30,2
53.692333999999995,-2.537583,2005,7,24,7,60,3
53.673241000000004,-2.619687,2005,12,7,13,50,2
53.684552000000004,-2.639537,2005,12,16,7,40,2
53.691997,-2.552268,2005,12,15,14,60,1
53.671606999999995,-2.830219,2005,12,21,22,60,1
53.552389,-2.753015,2005,8,26,16,60,3
53.563579000000004,-2.8534669999999998,2005,10,24,6,40,2
53.763812,-2.608429,2005,5,17,17,60,2
53.723136,-2.7149900000000002,2005,5,22,16,60,1
53.706553,-2.676078,2005,6,9,21,70,1
53.735670999999996,-2.676848,2005,7,13,22,70,1
53.766736,-2.6168150000000003,2005,8,13,16,70,1
53.733422999999995,-2.737904,2005,10,23,5,40,1
53.829570999999994,-2.615307,2005,5,25,23,30,1
53.797909999999995,-2.6535580000000003,2005,6,25,3,60,1
53.777069,-2.6514130000000002,2005,7,10,21,30,2
53.622446,-2.462761,2005,1,20,21,50,1
53.731905000000005,-2.419548,2005,2,3,15,40,2
53.862207,-2.3732580000000003,2005,3,1,14,60,2
53.786301,-2.387762,2005,3,15,2,30,1
53.761821999999995,-2.423335,2005,3,18,9,70,1
53.806192,-2.379138,2005,3,26,23,60,1
53.805055,-2.3692580000000003,2005,4,2,19,60,1
53.753665000000005,-2.36183,2005,4,9,22,30,1
53.755364,-2.364575,2005,4,4,13,30,1
53.92370699999999,-2.263405,2005,4,17,7,60,2
53.728722999999995,-2.499244,2005,7,18,20,30,1
53.657422,-2.5046049999999997,2005,8,13,15,50,2
53.692553000000004,-2.4636810000000002,2005,11,4,19,30,2
53.805909,-2.4600720000000003,2005,8,19,15,60,2
53.87627,-2.3596939999999997,2005,9,4,15,60,2
53.711703,-2.2034439999999997,2005,1,14,20,30,1
53.749214,-2.184973,2005,2,13,0,40,1
53.840607999999996,-2.194798,2005,3,7,3,30,1
53.799020999999996,-2.309689,2005,3,27,19,30,1
53.724104000000004,-2.32687,2005,4,6,7,70,1
53.749531999999995,-2.361036,2005,4,26,0,30,1
53.790565,-2.2334259999999997,2005,7,3,17,30,2
53.794528,-2.229349,2005,9,9,11,30,1
53.789635,-2.249055,2005,11,29,12,30,2
53.78390400000001,-2.2388529999999998,2005,12,15,8,30,1
53.702899,-2.2012810000000003,2005,11,25,10,30,1
53.64927900000001,-2.2718279999999997,2005,7,14,14,60,2
53.77794300000001,-2.3269849999999996,2005,9,10,16,70,1
53.696661,-2.265469,2005,9,23,11,30,3
54.02103100000001,-2.783128,2005,8,21,2,70,2
53.697466000000006,-2.677598,2005,10,29,14,70,1
53.534369999999996,-2.759484,2005,11,9,14,70,2
53.354166000000006,-3.111907,2005,11,24,19,30,1
53.439797999999996,-3.0462439999999997,2005,11,1,18,30,2
53.349408999999994,-3.061757,2005,12,4,17,60,2
53.401574,-3.058693,2005,12,8,23,30,1
53.355593000000006,-3.1416939999999998,2005,2,11,23,50,3
53.374388,-3.07305,2005,2,25,19,70,1
53.318805000000005,-3.025268,2005,2,27,14,60,1
53.422617,-3.0677939999999997,2005,3,24,8,30,2
53.41138,-3.026891,2005,1,27,2,30,1
53.372535,-3.007168,2005,5,13,15,30,1
53.339093999999996,-3.017944,2005,5,22,15,30,2
53.385591000000005,-3.0867139999999997,2005,5,20,22,40,3
53.370925,-3.048013,2005,6,20,7,30,2
53.414115,-3.022443,2005,7,17,22,30,1
53.344809999999995,-3.083423,2005,8,25,22,40,2
53.403913,-3.078607,2005,8,26,9,30,2
53.600903,-3.033296,2005,10,20,15,30,1
53.509827,-2.9023,2005,11,3,3,30,2
53.544229,-3.048667,2005,11,6,5,70,1
53.480399,-2.953061,2005,3,18,0,40,2
53.595325,-3.054465,2005,6,7,20,20,1
53.636557999999994,-3.026453,2005,6,21,21,30,1
53.641023,-3.008713,2005,7,19,1,30,1
53.48532900000001,-2.920468,2005,9,29,9,30,1
53.492278000000006,-2.951367,2005,9,14,2,70,1
53.403279000000005,-2.818969,2005,12,23,23,30,1
53.355421,-2.81114,2005,2,13,15,70,1
53.421673,-2.862059,2005,2,27,0,40,3
53.491425,-2.874778,2005,3,4,22,30,2
53.424275,-2.850223,2005,5,25,0,30,2
53.4275,-2.7861740000000004,2005,6,2,18,30,2
53.472106000000004,-2.725981,2005,5,8,21,60,1
53.44865600000001,-2.753287,2005,5,30,13,30,1
53.476789000000004,-2.767798,2005,6,15,19,70,1
53.40312900000001,-2.745864,2005,9,3,1,70,6
53.418220999999996,-2.938428,2005,8,3,16,30,2
53.451903,-2.930286,2005,8,10,3,40,2
