Accident_Index,Latitude,Longitude,Year,Month,Day,Hour,Speed_limit,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
200501CP00085,51.515757,-0.09729299999999999,2005,5,18,18,30,0,1,0,1
200501RY10515,51.463682,0.098065,2005,11,9,9,30,0,0,0,1
200501TA00003,51.525861,-0.17861300000000002,2005,1,6,15,30,1,0,0,1
200501TA00006,51.512457,-0.172518,2005,2,2,9,30,1,0,0,0
200501TA00015,51.511718,-0.12008800000000001,2005,1,29,12,30,1,0,0,0
200501TA00065,51.504852,-0.146308,2005,3,24,22,30,0,0,0,1
200501TA00083,51.513352000000005,-0.20721599999999998,2005,4,11,21,30,1,1,0,0
200501TA00087,51.552132,-0.105584,2005,4,27,10,30,0,0,1,1
200501TA00088,51.49462,-0.193688,2005,3,11,22,30,1,0,0,1
200501TA00096,51.501236999999996,-0.150922,2005,4,1,16,30,1,0,0,0
200501TA00101,51.513631,-0.144223,2005,5,8,6,30,1,0,0,0
200501TA00106,51.495290999999995,-0.17896700000000001,2005,5,25,17,30,0,0,0,1
200501TA00123,51.50268,-0.191497,2005,6,10,23,30,0,0,0,1
200501TA00154,51.512491,-0.20969899999999997,2005,7,15,15,30,1,0,0,0
200501TA00169,51.541548999999996,-0.135444,2005,7,14,8,30,0,0,1,1
200501TA00188,51.53244,-0.13942000000000002,2005,8,13,0,30,0,1,0,0
200501TA00193,51.482898999999996,-0.174276,2005,9,2,17,30,1,1,0,0
200501TA00212,51.547877,-0.098261,2005,9,30,14,30,0,0,0,1
200501TA00219,51.497208,-0.157712,2005,10,6,1,30,1,1,0,0
200501TA00234,51.488147999999995,-0.153468,2005,10,20,19,30,0,1,0,0
200501TA00239,51.544825,-0.201219,2005,10,26,10,30,1,0,0,0
200501TA00251,51.503028,-0.150417,2005,11,6,2,30,1,0,0,0
200501TA00265,51.572515,-0.126095,2005,11,15,9,20,1,0,0,1
200501TA00270,51.522401,-0.10220599999999999,2005,11,18,7,30,0,0,1,1
200501TA00274,51.513162,-0.16009500000000002,2005,10,30,9,30,1,0,0,1
200501TA00291,51.588784000000004,-0.070135,2005,12,1,20,30,0,0,0,1
200501TA00292,51.493863,-0.168075,2005,12,1,2,30,1,0,0,0
200501TA00296,51.523527,-0.173084,2005,11,30,12,30,1,0,0,0
200501TA00306,51.519731,-0.189236,2005,12,26,0,30,0,1,0,0
200501TA09001,51.573648999999996,-0.073951,2005,12,2,17,30,1,0,0,1
200501TA09003,51.551842,-0.060302999999999995,2005,12,15,20,30,1,0,0,0
200501TA09005,51.527112,-0.195574,2005,11,29,8,30,0,1,0,0
200501TA09033,51.493255,-0.198496,2005,12,13,20,30,1,0,0,1
200501TB00005,51.530594,-0.229318,2005,1,13,22,30,1,0,0,0
200501TB00106,51.533722,-0.325945,2005,2,28,2,30,1,0,0,0
200501TB00112,51.636825,-0.17257999999999998,2005,3,6,22,30,1,0,0,0
200501TB00141,51.601594,-0.268723,2005,3,7,11,30,1,0,0,0
200501TB00155,51.572007,-0.196972,2005,3,26,15,30,0,0,0,1
200501TB00166,51.589771,-0.200166,2005,2,25,3,50,1,0,0,0
200501TB00171,51.531672,-0.308431,2005,5,2,5,40,1,0,0,0
200501TB00173,51.506879999999995,-0.474343,2005,4,28,22,30,1,0,0,0
200501TB00180,51.497103,-0.421796,2005,5,8,12,30,1,1,0,0
200501TB00182,51.601802,-0.351889,2005,5,14,6,30,0,1,0,0
200501TB00186,51.53821,-0.288,2005,5,15,20,30,1,0,0,0
200501TB00192,51.543746,-0.380235,2005,5,26,23,60,1,0,1,0
200501TB00208,51.626754,-0.292037,2005,6,8,4,60,1,0,0,0
200501TB00209,51.613279,-0.305398,2005,6,13,17,30,1,0,1,0
200501TB00227,51.562816,-0.279574,2005,5,29,0,30,0,0,0,1
200501TB00231,51.525852,-0.373807,2005,7,3,15,30,1,0,0,0
200501TB00257,51.515398,-0.398248,2005,7,30,1,40,1,0,0,1
200501TB00289,51.500417999999996,-0.48219399999999996,2005,9,8,0,30,1,0,0,0
200501TB00291,51.649291,-0.193617,2005,9,12,18,30,1,1,0,0
200501TB00292,51.620527,-0.347022,2005,9,16,1,30,0,0,0,1
200501TB00308,51.57614,-0.22033200000000003,2005,9,27,1,30,0,1,1,0
200501TB00316,51.612784999999995,-0.265408,2005,10,13,19,30,1,1,0,0
200501TB00327,51.513804,-0.248994,2005,10,17,18,30,0,0,0,1
200501TB00330,51.567060999999995,-0.39513400000000004,2005,10,21,21,30,1,0,0,0
200501TB00333,51.541297,-0.259475,2005,10,27,19,30,1,0,0,0
200501TB00350,51.646136,-0.193164,2005,11,25,21,30,1,0,0,0
200501TB00360,51.538108,-0.29954000000000003,2005,11,26,1,30,1,0,0,0
200501TB00363,51.578590999999996,-0.47064300000000003,2005,12,7,18,30,1,0,0,0
200501TB00366,51.621511,-0.259585,2005,12,1,21,40,1,0,0,0
200501TB00368,51.528577,-0.330892,2005,12,8,17,30,0,0,0,1
200501TB00369,51.565360999999996,-0.275294,2005,11,12,12,30,0,0,0,1
200501TB00370,51.560483000000005,-0.207815,2005,11,25,19,30,1,0,0,0
200501TB00375,51.507324,-0.29131999999999997,2005,12,14,4,30,1,0,0,1
